course_name,city,state,street_address,zip_code,holes,course_type,final_acreage,acreage_source,longitude,latitude
Fairlawn Golf Course,Lincoln,RI,3 Sherman Ave,02865-3809,9,Public,,No Match Found,-71.442109,41.914692
Sakonnet Golf Club,Little Compton,RI,79 Sakonnet Point Rd,02837-1049,18,Private,136.52656523259668,OSM (Medium Reliability),-71.185179,41.471097
Wanumetonomy Golf & Country Club,Middletown,RI,152 Browns Ln,02842-4502,18,Semi Private,122.57053967332637,Tigris (High Reliability),-71.297912,41.536713
Newport National Golf Club,Middletown,RI,324 Mitchell Ln,02842-5349,18,Public,171.45301640655572,OSM (Medium Reliability),-71.259339,41.530944
Point Judith Country Club,Narragansett,RI,150 Windermere Rd,02882-4227,18,Private,,No Match Found,-71.468069,41.410547
Newport Country Club,Newport,RI,280 Harrison Ave,02840-3708,18,Private,,No Match Found,-71.349163,41.463476
North Kingstown Golf Course,North Kingstown,RI,615 Callahan Rd,02852-8613,18,Municipal,130.02616630776004,OSM (Medium Reliability),-71.429854,41.599066
Quidnessett Country Club,North Kingstown,RI,950 N Quidnessett Rd,02852-1048,18,Private,116.00833321955363,Tigris (High Reliability),-71.420939,41.640897
Rolling Greens Golf Course,North Kingstown,RI,1625 Ten Rod Rd,02852-4123,9,Public,53.873158296733415,OSM (Medium Reliability),-71.512246,41.576896
Woodland Greens Golf Club,North Kingstown,RI,655 Old Baptist Rd,02852-3110,9,Public,40.18828453832417,OSM (Medium Reliability),-71.485168,41.598495
Louisquisset Golf Club,North Providence,RI,1 Overlook Cir,02904-7773,9,Private,59.49422501818221,OSM (Medium Reliability),-71.446366,41.872007
Pawtucket Country Club,Pawtucket,RI,900 Armistice Blvd,02861-3322,18,Private,105.41203408319842,OSM (Medium Reliability),-71.338936,41.873642
Carnegie Abbey on Narragansett Bay,Portsmouth,RI,125 Corys Ln,02871-1386,18,Private,231.97420989766533,OSM (Medium Reliability),-71.26982,41.59737
Green Valley Country Club,Portsmouth,RI,371 Union St,02871-2209,18,Public,144.24939018757107,OSM (Medium Reliability),-71.268583,41.560996
Montaup Country Club,Portsmouth,RI,500 Anthony Rd,02871-4815,18,Public,131.30998446014408,OSM (Medium Reliability),-71.232946,41.636182
Triggs Memorial Golf Course,Providence,RI,1533 Chalkstone Ave,02909-4917,18,Public,149.3116163999321,Tigris (High Reliability),-71.459929,41.83329
Button Hole Short Course and Teaching Center,Providence,RI,1 Buttonhole Dr,02909-5750,9,Public,26.55869901777099,OSM (Medium Reliability),-71.458694,41.826085
Richmond Country Club,Richmond,RI,74 Sandy Pond Rd,02832-3416,18,Public,168.81620002359313,OSM (Medium Reliability),-71.706862,41.469619
Agawam Hunt,Rumford,RI,15 Roger Williams Ave,02916-3510,18,Private,,No Match Found,-71.360672,41.83389
Wannamoisett Country Club,Rumford,RI,96 Hoyt Ave,02916-2528,18,Private,110.46360489904907,OSM (Medium Reliability),-71.357685,41.844419
Rose Hill Golf Club,Wakefield,RI,222 Rose Hill Rd,02879-1718,9,Public,,No Match Found,-71.495525,41.469505
Windmill Hill Golf Course,Warren,RI,35 Schoolhouse Rd,02885-1025,9,Public,,No Match Found,-71.267349,41.740406
Valley Country Club,Warwick,RI,251 New London Ave,02886-0629,18,Private,131.97020034758842,OSM (Medium Reliability),-71.512709,41.706468
Warwick Country Club,Warwick,RI,394 Narragansett Bay Ave,02889-6724,18,Private,0.5099725254801581,OSM (Medium Reliability),-71.387043,41.67581
Seaview Country Club Inc,Warwick,RI,150 Gray St,02889-6321,9,Public,47.1094467194613,OSM (Medium Reliability),-71.387556,41.688302
Beaver River Golf Club,West Kingston,RI,343 Kingstown Rd,02892-1160,18,Public,92.02730668316477,OSM (Medium Reliability),-71.636169,41.497485
Laurel Lane Golf Course,West Kingston,RI,309 Laurel Ln,02892-1916,18,Public,143.09346878007187,OSM (Medium Reliability),-71.59721,41.492511
West Warwick Country Club,West Warwick,RI,335 Wakefield St,02893-1923,9,Semi Private,76.26872814051062,OSM (Medium Reliability),-71.512348,41.724856
Midville Country Club,West Warwick,RI,100 Lombardi Ln,02893-1910,9,Public,55.881299371955095,OSM (Medium Reliability),-71.502123,41.723093
Misquamicut Club,Westerly,RI,60 Ocean View Hwy,02891-5251,18,Private,152.5384646555391,OSM (Medium Reliability),-71.832541,41.319556
Weekapaug Golf Club,Westerly,RI,265 Shore Rd,02891-3924,9,Semi Private,,No Match Found,-71.776102,41.341076
Winnapaug Golf & Country Club,Westerly,RI,184 Shore Rd,02891-3629,18,Public,87.72909859726968,OSM (Medium Reliability),-71.793452,41.337441
Meadow Brook Golf Club,Wyoming,RI,163 Kingstown Rd,02898-1123,9,Public,182.51955652941,OSM (Medium Reliability),-71.664848,41.500536
High Meadows Country Club,Abbeville,SC,1209 Highway 71,29620-4999,9,Public,,No Match Found,-82.427106,34.184718
Woodside Plantation Country Club,Aiken,SC,1000 Woodside Plantation Dr,29803-7801,45,Private,365.5716859770558,OSM (Medium Reliability),-81.726221,33.498777
The Reserve Club At Woodside Plantation,Aiken,SC,1419 Silver Bluff Rd,29803-9224,27,Semi Private,365.5716859770558,OSM (Medium Reliability),-81.742392,33.503811
