TMK,dominant_zone_class,golf_clipped_acres,recorded_area_acres,course_name,expected_taxable,dominant_zone_description,geometry_reproduced_this_run
76001001,F-1,191.42504983874377,5112.44,Leilehua Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11001001,F-1,174.8082211044549,301.813,Mamala Bay Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11010066,F-1,150.51160928393722,281.267,Navy Marine Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
44008001,F-1,128.9940907300373,1748.35,Klipper Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11008005,F-1,58.14798366245424,NA,Fort Shafter Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11002002,F-1,30.217177935841082,615.745,Kealohi Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
41015001,F-1,18.94443608841587,899.1597,Bellows Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
44009015,F-1,11.576726075907326,480.59,Klipper Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11003001,F-1,4.109456653853258,2474.8031,Mamala Bay Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11010012,F-1,3.7783966306272667,95.879,Navy Marine Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11002015,F-1,2.468563483830161,309.568,Mamala Bay Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
94172001,F-1,1.4056597979876926,479.118,Royal Kunia Country Club,FALSE,F-1 Federal and Military Preservation District,TRUE
91013096,F-1,0.45085214360514264,70.726,Unknown,FALSE,F-1 Federal and Military Preservation District,TRUE
11010052,F-1,0.4092941757963511,73.496,Navy Marine Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
91013039,F-1,0.28890002912967216,145.785,Unknown,FALSE,F-1 Federal and Military Preservation District,TRUE
11010022,F-1,0.27776920977463154,15.24,Navy Marine Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
91010122,F-1,0.27548070827746685,416.479,Hawaii Prince Golf Club,FALSE,F-1 Federal and Military Preservation District,TRUE
93002001,F-1,0.13200801442779897,211.659,Ted Makalena Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
91001032,F-1,0.07149962067435817,65.816,Ewa Beach Golf Club,FALSE,F-1 Federal and Military Preservation District,TRUE
11010040,F-1,0.049072257161644164,NA,Navy Marine Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
11010069,F-1,0.003924730841242458,96.59,Navy Marine Golf Course,FALSE,F-1 Federal and Military Preservation District,TRUE
91069003,I-2,1.3253999473969953,48.395,Coral Creek Golf Course,TRUE,I-2 Intensive Industrial District,TRUE
91069045,IMX-1,0.3111365106831935,11.686,Coral Creek Golf Course,TRUE,IMX-1 Industrial Mixed Use District,TRUE
91069049,IMX-1,0.05223086031889997,0.131,Coral Creek Golf Course,TRUE,IMX-1 Industrial Mixed Use District,TRUE
45042017,P-1,220.55064040324604,245.64,Ko'olau Golf Club,TRUE,P-1 Restricted Preservation District,TRUE
45035001,P-1,162.29203682719688,215.062,Pali Golf Course,TRUE,P-1 Restricted Preservation District,TRUE
11063017,P-1,132.67197918431282,176.961,Honolulu Country Club,TRUE,P-1 Restricted Preservation District,TRUE
19006002,P-1,2.15078552964434,NA,Oʻahu Country Club,TRUE,P-1 Restricted Preservation District,TRUE
42002032,P-1,1.4404104280177346,NA,Unknown,TRUE,P-1 Restricted Preservation District,TRUE
41013011,P-1,0.6902532728522878,56.35,Unknown,TRUE,P-1 Restricted Preservation District,TRUE
45042018,P-1,0.5528032355919443,422.4,Ko'olau Golf Club,TRUE,P-1 Restricted Preservation District,TRUE
45035009,P-1,0.4714373225901603,0.462,Pali Golf Course,TRUE,P-1 Restricted Preservation District,TRUE
39012001,P-1,0.1622235717883563,699.062,Championship Course,TRUE,P-1 Restricted Preservation District,TRUE
45041001,P-1,0.044180709736623386,93.149,Ko'olau Golf Club,TRUE,P-1 Restricted Preservation District,TRUE
42010001,P-1,0.02969413560189166,1744.538,Royal Hawaiian Golf Club,TRUE,P-1 Restricted Preservation District,TRUE
43011075,P-1,0.002279166582067819,NA,Unknown,TRUE,P-1 Restricted Preservation District,TRUE
45042011,P-1,9.373145392335898e-4,NA,Ko'olau Golf Club,TRUE,P-1 Restricted Preservation District,TRUE
91016227,P-2,188.03824497762056,190.691,Kapolei Golf Course,TRUE,P-2 General Preservation District,TRUE
98011034,P-2,174.84486880745618,NA,Pearl Country Club,TRUE,P-2 General Preservation District,TRUE
94002046,P-2,152.18683001673008,163.381,Royal Kunia Country Club,TRUE,P-2 General Preservation District,TRUE
95001035,P-2,149.2406067580917,165.223,Mililani Golf Course,TRUE,P-2 General Preservation District,TRUE
56003062,P-2,149.00886035865236,157.885,Kulima Golf Course,TRUE,P-2 General Preservation District,TRUE
42002002,P-2,148.38576948329518,163.133,Unknown,TRUE,P-2 General Preservation District,TRUE
93002034,P-2,147.81633533574612,150.528,Ted Makalena Golf Course,TRUE,P-2 General Preservation District,TRUE
35023001,P-2,139.62936002678939,144.911,Waiʻalae Country Club,TRUE,P-2 General Preservation District,TRUE
84002005,P-2,135.49288500852452,145.395,Makaha Valley Country Club,TRUE,P-2 General Preservation District,TRUE
27036002,P-2,123.61059496747737,137.883,Ala Wai Golf Course,TRUE,P-2 General Preservation District,TRUE
94004020,P-2,120.73509105945722,136.045,Hawaii Country Club,TRUE,P-2 General Preservation District,TRUE
41013010,P-2,115.63452011019531,129.859,Unknown,TRUE,P-2 General Preservation District,TRUE
91134056,P-2,111.14042139471564,112.84,Hoakalei Country Club,TRUE,P-2 General Preservation District,TRUE
19006001,P-2,105.43060150259961,187.055,Oʻahu Country Club,TRUE,P-2 General Preservation District,TRUE
91069011,P-2,101.03918353553547,102.101,Coral Creek Golf Course,TRUE,P-2 General Preservation District,TRUE
91134043,P-2,96.07335694040383,113.982,Hoakalei Country Club,TRUE,P-2 General Preservation District,TRUE
91181022,P-2,80.79992984928349,101.131,West Loch Golf Course,TRUE,P-2 General Preservation District,TRUE
57001052,P-2,68.69571588078628,69.072,Kulima Golf Course,TRUE,P-2 General Preservation District,TRUE
91181001,P-2,63.828989724392024,80.269,West Loch Golf Course,TRUE,P-2 General Preservation District,TRUE
94007010,P-2,63.61334220154738,68.756,Waikele Golf Club,TRUE,P-2 General Preservation District,TRUE
11012013,P-2,55.761463116589205,NA,Moanalua Golf Club,TRUE,P-2 General Preservation District,TRUE
91069010,P-2,54.751246369907726,57.85,Coral Creek Golf Course,TRUE,P-2 General Preservation District,TRUE
91056008,P-2,54.0697876480643,55.025,Ko Olina Golf Club,TRUE,P-2 General Preservation District,TRUE
39010023,P-2,53.242481775598165,62.329,Championship Course,TRUE,P-2 General Preservation District,TRUE
