OBJECTID,ZONE_,SECTION_,PLAT,ZSP,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,Shape__Area,Shape__Length
2783,4,5,014,45014,,,SDE,5/28/2020 9:32:53 PM,8710623c-1ac0-49bf-84de-78387d303af9,855539.597732544,3884.68360289395
2784,2,1,058,21058,,,GIS_EDITOR,6/9/2020 12:43:32 AM,cb3e9795-173b-473d-998a-0dcf7308b417,2678973.5670166,7514.62322831893
2785,1,5,021,15021,,,GIS_EDITOR,6/16/2020 1:06:52 AM,33adc2d8-2900-48dc-baba-33f7cca99ebf,565677.843513489,3495.07927926974
2786,1,9,007,19007,,,GIS_EDITOR,6/20/2020 1:31:33 AM,87ecaadf-2948-47d4-acd0-b90109357d6c,42169461.6286469,33951.1740390213
2787,1,1,076,11076,,,GIS_EDITOR,1/19/2021 7:45:57 PM,ea40076f-7677-4ed7-afe7-ce87eeb3c1ae,784378.101867676,10202.9229804128
2788,4,7,054,47054,,,GIS_EDITOR,10/29/2020 1:46:36 AM,d8c23c84-a3da-45bf-a6eb-a30d0bf976f3,999269.98866272,9552.91266081267
2789,4,7,052,47052,,,GIS_EDITOR,10/29/2020 1:46:36 AM,92ecc0f6-9808-4652-bdc5-8ba4983b0275,1369392.56515503,13958.608139599
2790,4,7,071,47071,rpa,6/30/2016 7:56:01 AM,GIS_EDITOR,10/21/2020 2:04:42 AM,286b2493-7876-4187-b238-bc9a15c118dc,10610239.1607971,15866.5873808043
2791,4,7,004,47004,,,GIS_EDITOR,10/29/2020 1:55:50 AM,1082d76a-1807-4dd9-9a0f-18d25e5cb654,10866094.7592773,26537.6879967332
2792,4,7,051,47051,GIS_EDITOR,10/28/2020 11:42:50 PM,GIS_EDITOR,10/29/2020 1:46:36 AM,b455662c-f6b3-4346-a46e-be3e2b7e2ad1,20991847.0575256,39934.0093364622
2793,9,1,041,91041,,,GIS_EDITOR,2/4/2021 7:49:27 PM,e9586a32-b069-471b-9f4a-1c1c44eebcf6,1040646.92446136,4397.75918278497
2794,9,1,130,91130,,,GIS_EDITOR,2/4/2021 7:49:27 PM,e15ce057-c987-4ac4-bd44-91526a2324f0,981427.741912842,4161.39128025844
2795,3,1,018,31018,,,GIS_EDITOR,10/31/2020 1:31:41 AM,07ee1215-5750-42c1-9399-36b9589472d9,735597.16009903,3578.25390126725
2796,9,1,042,91042,,,GIS_EDITOR,2/4/2021 7:49:27 PM,677b53e5-116f-4768-af94-9d03877e7c93,949112.371543884,4183.2497482079
2797,3,5,016,35016,,,SDE,1/13/2021 7:21:05 PM,c8544b80-af82-4665-bd76-584193050b30,1438255.32448578,5096.84843282669
2798,1,3,027,13027,,,GIS_EDITOR,12/18/2020 7:13:28 PM,83360260-56ea-4b9f-a3e5-dc066377777c,683729.581542969,3896.95606143017
2799,9,1,086,91086,,,GIS_EDITOR,2/4/2021 7:54:06 PM,9c771b7b-ec9c-426f-89a5-47c9c9a16b45,792447.1849823,3823.82416528758
2800,9,5,008,95008,,,GIS_EDITOR,3/19/2021 7:37:58 PM,c19dc618-9f40-4b35-8bf2-1d8db3b0d70a,689331.283309937,4722.68963867328
2801,3,2,051,32051,,,GIS_EDITOR,4/14/2021 1:15:20 AM,e3c6f21f-227e-4d0c-ae2e-4cd2c14ce60f,422241.548625946,2603.16645629055
2802,1,8,018,18018,,,GIS_EDITOR,2/9/2021 12:51:14 AM,ba8903aa-258e-4725-a1e8-cd6792d98a9f,564753.442672729,3426.64973149546
2803,5,1,005,51005,,,GIS_EDITOR,3/2/2021 2:13:24 AM,838d52e8-0eed-4b51-97eb-17a3781eee88,40417.554397583,3388.17708130329
2804,5,1,005,51005,GIS_EDITOR,2/18/2021 6:23:40 PM,GIS_EDITOR,3/19/2021 2:04:10 AM,bdcb8573-6bd0-41c6-b4cf-b2094544b3fd,1484783.35978699,5469.66875872076
2805,4,3,061,43061,,,GIS_EDITOR,11/13/2020 7:02:32 PM,bad8e2e8-31b8-4f29-b58d-de3aa7cb32d7,562843.268035889,3712.44945825142
2806,3,3,005,33005,,,GIS_EDITOR,11/13/2020 7:35:36 PM,038d06ef-691f-4826-bc45-dc27c0f68eb8,1134214.45716858,4451.53564582093
2807,3,1,017,31017,,,GIS_EDITOR,11/13/2020 8:07:48 PM,68362706-eef9-4e49-b0c4-9aaa6bf2a9cf,527605.602062225,3078.85194842472
2808,2,2,008,22008,,,GIS_EDITOR,11/13/2020 8:54:57 PM,639f0e49-2c03-445e-870d-0041e08adc2a,746214.790596008,3521.81855587967
2809,3,2,052,32052,,,GIS_EDITOR,11/13/2020 11:06:01 PM,1880178d-98ad-4c43-960e-9df66bbf022e,678450.658973694,3388.46249930332
2810,9,5,001,95001,rpa,11/16/2018 3:06:51 PM,GIS_EDITOR,11/13/2020 11:44:35 PM,a7c2ac69-178a-46bd-8fc3-e2a6f546f5da,8445141.45426941,22106.7432880563
2811,8,4,014,84014,,,GIS_EDITOR,11/14/2020 1:19:41 AM,4050992f-fe2d-4634-a7a0-a326d72198ba,1158800.50502014,4619.26289472071
2812,1,3,002,13002,,,GIS_EDITOR,8/19/2020 9:10:01 PM,95eac345-f74a-4f58-98d1-1d3b658b5125,708020.171440125,4236.69095532352
